category,level,outcome,outcome_level,n
CC389,1,DD13,3715,5
CC389,1,DD13,3964,5
CC389,1,DD13,2145,5
CC389,1,DD13,1560,5
CC389,1,DD13,2490,5
CC389,1,DD13,2313,5
CC389,1,DD13,2920,10
CC389,1,DD13,5249,5
CC389,1,DD13,4395,5
CC389,1,DD13,3395,5
CC389,1,DD13,3185,5
CC389,1,DD13,2629,5
CC389,1,DD13,3470,20
CC389,1,DD13,2400,5
CC389,1,DD13,3975,5
CC389,1,DD13,2397,5
CC389,1,DD13,3216,5
CC389,1,DD13,4440,5
CC389,1,DD13,3315,5
CC389,1,DD13,2945,5
CC389,1,DD13,3765,5
CC389,1,DD13,3275,5
CC389,1,DD13,4692,5
CC389,1,DD13,2754,5
CC389,1,DD13,3150,10
CC389,1,DD13,3968,5
CC389,1,DD13,3260,20
CC389,1,DD13,2703,5
CC389,1,DD13,3852,5
CC389,1,DD13,5130,5
CC389,1,DD13,2260,5
CC389,1,DD13,3496,5
CC389,1,DD13,3178,5
CC389,1,DD13,3546,5
CC389,1,DD13,4233,5
CC389,1,DD13,1760,5
CC389,1,DD13,2295,5
CC389,1,DD13,3706,5
CC389,1,DD13,4005,5
CC389,1,DD13,4056,5
CC389,1,DD13,2540,5
CC389,1,DD13,2560,5
CC389,1,DD13,3138,5
CC389,1,DD13,2847,5
CC389,1,DD13,3265,5
CC389,1,DD13,2770,5
CC389,1,DD13,3674,5
CC389,1,DD13,3698,5
CC389,1,DD13,2810,5
CC389,1,DD13,3050,20
CC389,1,DD13,3756,5
CC389,1,DD13,3368,5
CC389,1,DD13,2390,5
CC389,1,DD13,3165,5
CC389,1,DD13,3565,5
CC389,1,DD13,4204,5
CC389,1,DD13,3884,5
CC389,1,DD13,1812,5
CC389,1,DD13,2662,5
CC389,1,DD13,2445,5
CC389,1,DD13,4410,5
CC389,1,DD13,4180,10
CC389,1,DD13,4286,5
CC389,1,DD13,2590,5
CC389,1,DD13,4584,5
CC389,1,DD13,3794,5
CC389,1,DD13,4254,5
CC389,1,DD13,3788,5
CC389,1,DD13,2370,5
CC389,1,DD13,3535,5
CC389,1,DD13,3074,5
CC389,1,DD13,2785,5
CC389,1,DD13,1296,5
CC389,1,DD13,3346,5
CC389,1,DD13,3835,5
CC389,1,DD13,2848,5
CC389,1,DD13,4178,5
CC389,1,DD13,3092,5
CC389,1,DD13,4232,5
CC389,1,DD13,1676,5
CC389,1,DD13,4468,5
CC389,1,DD13,1485,5
CC389,1,DD13,3215,5
CC389,1,DD13,2720,5
CC389,1,DD13,2365,5
CC389,1,DD13,3080,10
CC389,1,DD13,3572,5
CC389,1,DD13,4588,5
CC389,1,DD13,2975,5
CC389,1,DD13,3720,20
CC389,1,DD13,3384,5
CC389,1,DD13,2250,5
CC389,1,DD13,3418,5
CC389,1,DD13,4510,5
CC389,1,DD13,2883,5
CC389,1,DD13,2905,5
CC389,1,DD13,2200,5
CC389,1,DD13,3624,5
CC389,1,DD13,2988,5
CC389,1,DD13,3847,5
CC389,1,DD13,3588,5
CC389,1,DD13,1569,5
CC389,1,DD13,2685,5
CC389,1,DD13,3331,5
CC389,1,DD13,2913,5
CC389,1,DD13,2844,5
CC389,1,DD13,4018,5
CC389,1,DD13,3116,5
CC389,1,DD13,2120,5
CC389,1,DD13,2535,5
CC389,1,DD13,2620,5
CC389,1,DD13,4134,5
CC389,1,DD13,2500,5
CC389,1,DD13,4394,5
CC389,1,DD13,2194,5
CC389,1,DD13,3014,5
CC389,1,DD13,1957,5
CC389,1,DD13,4095,5
CC389,1,DD13,4810,5
CC389,1,DD13,3695,5
CC389,1,DD13,3428,5
CC389,1,DD13,3656,5
CC389,1,DD13,5030,5
CC389,1,DD13,2615,5
