category,level,outcome,outcome_level,n,Unnamed: 5
CC390,1,DD13,2760,5,
CC390,1,DD13,3508,5,
CC390,1,DD13,2900,5,
CC390,1,DD13,4120,5,
CC390,1,DD13,3570,10,
CC390,1,DD13,2780,5,
CC390,1,DD13,1900,5,
CC390,1,DD13,4950,5,
CC390,1,DD13,3085,5,
CC390,1,DD13,4026,5,
CC390,1,DD13,3232,5,
CC390,1,DD13,3890,10,
CC390,1,DD13,2830,5,
CC390,1,DD13,3490,10,
CC390,1,DD13,2825,5,
CC390,1,DD13,3750,10,
CC390,1,DD13,3110,5,
CC390,1,DD13,705,5,
CC390,1,DD13,2630,5,
CC390,1,DD13,2845,5,
CC390,1,DD13,3780,10,
CC390,1,DD13,3785,5,
CC390,1,DD13,4140,5,
CC390,1,DD13,4480,5,
CC390,1,DD13,3380,5,
CC390,1,DD13,4080,5,
CC390,1,DD13,4086,5,
CC390,1,DD13,4450,5,
CC390,1,DD13,3540,10,
CC390,1,DD13,3320,10,
CC390,1,DD13,3310,5,
CC390,1,DD13,4190,5,
CC390,1,DD13,3640,20,
CC390,1,DD13,4920,5,
CC390,1,DD13,3950,10,
CC390,1,DD13,3912,5,
CC390,1,DD13,3680,5,
CC390,1,DD13,2005,5,
CC390,1,DD13,3725,5,
CC390,1,DD13,3280,5,
CC390,1,DD13,3270,5,
CC390,1,DD13,3328,5,
CC390,1,DD13,2912,5,
CC390,1,DD13,3995,5,
CC390,1,DD13,3710,5,
CC390,1,DD13,3940,10,
CC390,1,DD13,3285,5,
CC390,1,DD13,4370,5,
CC390,1,DD13,3850,10,
CC390,1,DD13,4350,5,
CC390,1,DD13,3040,5,
CC390,1,DD13,4730,5,
CC390,1,DD13,2850,5,
CC390,1,DD13,3460,10,
CC390,1,DD13,5100,5,
CC390,1,DD13,2995,5,
CC390,1,DD13,4072,5,
CC390,1,DD13,2495,5,
CC390,1,DD13,1875,5,
CC390,1,DD13,4430,5,
CC390,1,DD13,3822,5,
CC390,1,DD13,3805,5,
CC390,1,DD13,4344,5,
CC390,1,DD13,3060,5,
CC390,1,DD13,4396,5,
CC390,1,DD13,4210,5,
CC390,1,DD13,3900,10,
CC390,1,DD13,3124,5,
CC390,1,DD13,3404,5,
CC390,1,DD13,3350,10,
CC390,1,DD13,2410,5,
CC390,1,DD13,4160,10,
CC390,1,DD13,3086,5,
CC390,1,DD13,3920,10,
CC390,1,DD13,3180,5,
CC390,1,DD13,3210,5,
CC390,1,DD13,3140,5,
CC390,1,DD13,3450,20,
CC390,1,DD13,3230,10,
CC390,1,DD13,4380,5,
CC390,1,DD13,2985,5,
CC390,1,DD13,4030,5,
CC390,1,DD13,4410,5,
CC390,1,DD13,3455,5,
CC390,1,DD13,3645,5,
CC390,1,DD13,3400,20,
CC390,1,DD13,3532,5,
CC390,1,DD13,2980,5,
CC390,1,DD13,4620,5,
CC390,1,DD13,2600,5,
CC390,1,DD13,2946,5,
CC390,1,DD13,2646,5,
CC390,1,DD13,2580,5,
CC390,1,DD13,4860,5,
CC390,1,DD13,3892,5,
CC390,1,DD13,2870,5,
CC390,1,DD13,2545,5,
CC390,1,DD13,1598,5,
CC390,1,DD13,4070,5,
CC390,1,DD13,4330,5,
CC390,1,DD13,5035,5,
CC390,1,DD13,4220,5,
CC390,1,DD13,2965,5,
